Name, WordCount
The Way of Kings,"383,124"
Oathbringer,"451,912"
Wind and Truth,"491,000"
Elantris,"208,212"
Mistborn: The Final Empire,"214,000"
Warbreaker,"196,014"
Words of Radiance,"398,238"
Isles of the Emberdark,"128,904"
Rhythm of War,"455,891"
Skyward,"135,366"
Tress of the Emerald Sea,"107,227"
Mistborn: The Well of Ascension,"244,371"
Mistborn: The Hero of Ages,"225,372"
Mistborn: The Alloy of Law,"94,652"
Steelheart,"107,944"
The Sunlit Man,"101,582"
White Sand,"200,000"
The Emperor's Soul,"31,925"
Dawnshard,"56,282"
Yumi and the Nightmare Painter,"113,455"
Edgedancer,"40,660"
Arcanum Unbounded: The Cosmere Collection,"190,290"
Mistborn: The Lost Metal,"156,000"
Mistborn: The Bands of Mourning,"127,456"
Mistborn: Secret History,"44,981"
Starsight,"136,000"
Alcatraz Versus the Evil Librarians,"58,233"
Mistborn: Shadows of Self,"110,019"
Defiant,"117,000"
Cytonic,"115,000"
Firefight,"104,132"
Sixth of the Dusk,"17,794"
Infinity Blade: Awakening,"39,040"
Inifnity Blade: Redemption,"37,681"
The Frugal Wizard's Handbook for Surviving Medieval England,"77,634"
The Rithmatist,"87,683"
White Sand Omnibus,"40,000"
Calamity,"103,055"
A Memory of Light,"364,957"
The Gathering Storm,"294,492"
Towers of Midnight,"325,636"
Perfect State,"17,348"
Dragonsteel Prime,"236,997"
Sunreach (Skyward Flight: Novella 1),"48,622"
Shadows for Silence in the Forests of Hell: A Cosmere Novella,"17,892"
Defending Elysium,"14,864"
Dark One: Forgotten,"205,464"
Evershore (Skyward Flight: Novella 3),"129,523"
Alcatraz Versus the Shattered Lens,"104,160"



